Sample File	C:\Users\EARL_Administrator\Desktop\OVERNIGHT THE REAL DEAL\Sucrose to Ammonium Sulfate\1. Sucrose pre mixing tube\Sucrose pre mixing.S80									
Classifier Model	3080									
DMA Model	3081									
DMA Inner Radius(cm)	0.00937									
DMA Outer Radius(cm)	0.01961									
DMA Characteristic Length(cm)	0.44369									
CPC Model	3776 Low Flow									
Reference Gas Viscosity (Pa*s)	1.83E-05									
Reference Mean Free Path (m)	6.73E-08									
Reference Gas Temperature (K)	296.15									
Reference Gas Pressure (kPa)	101.3									
Channels/Decade	64									
Multiple Charge Correction	FALSE									
Nanoparticle Aggregate Mobility Analysis	FALSE									
Diffusion Correction	FALSE									
Units	dw/dlogDp									
Weight	Number									
Sample #	1		2		3		4		5	
Date	9/4/21		9/4/21		9/4/21		9/4/21		9/4/21	
Start Time	13:11:24		13:13:42		13:15:57		13:18:12		13:20:27	
Diameter Midpoint										
0.3	6.896675	0	6.896675	4	6.896675	2	6.896675	1	6.896675	1
0.4	6.916688	0	6.916688	3	6.916688	1	6.916688	3	6.916688	4
0.5	6.936759	0	6.936759	1	6.936759	3	6.936759	3	6.936759	1
0.6	6.956821	0	6.956821	2	6.956821	3	6.956821	6	6.956821	3
0.7	6.97701	0	6.97701	3	6.97701	5	6.97701	1	6.97701	1
0.8	6.997259	0	6.997259	5	6.997259	1	6.997259	1	6.997259	4
0.9	7.017635	0	7.017635	3	7.017635	3	7.017635	4	7.017635	3
1	7.038002	0	7.038002	5	7.038002	1	7.038002	2	7.038002	3
1.1	7.058428	0	7.058428	4	7.058428	1	7.058428	3	7.058428	2
1.2	7.078915	0	7.078915	0	7.078915	1	7.078915	2	7.078915	1
1.3	7.099391	0	7.099391	0	7.099391	2	7.099391	3	7.099391	3
1.4	7.119998	0	7.119998	0	7.119998	3	7.119998	3	7.119998	3
1.5	7.140665	0	7.140665	4	7.140665	3	7.140665	4	7.140665	0
1.6	7.161392	0	7.161392	1	7.161392	3	7.161392	1	7.161392	0
1.7	7.18218	0	7.18218	2	7.18218	2	7.18218	1	7.18218	3
1.8	7.2031	0	7.2031	3	7.2031	3	7.2031	2	7.2031	2
1.9	7.22401	0	7.22401	2	7.22401	1	7.22401	0	7.22401	2
2	7.244981	0	7.244981	4	7.244981	1	7.244981	2	7.244981	3
2.1	7.266014	0	7.266014	3	7.266014	1	7.266014	3	7.266014	2
2.2	7.287108	0	7.287108	2	7.287108	1	7.287108	1	7.287108	2
2.3	7.308193	0	7.308193	2	7.308193	2	7.308193	1	7.308193	0
2.4	7.329411	0	7.329411	1	7.329411	1	7.329411	0	7.329411	3
2.5	7.350691	0	7.350691	2	7.350691	1	7.350691	2	7.350691	0
2.6	7.372034	0	7.372034	0	7.372034	1	7.372034	1	7.372034	3
2.7	7.393439	0	7.393439	2	7.393439	1	7.393439	2	7.393439	1
2.8	7.414907	0	7.414907	2	7.414907	1	7.414907	3	7.414907	1
2.9	7.436511	0	7.436511	1	7.436511	0	7.436511	1	7.436511	3
3	7.458105	0	7.458105	0	7.458105	3	7.458105	3	7.458105	1
3.1	7.479762	0	7.479762	0	7.479762	2	7.479762	1	7.479762	0
3.2	7.501483	0	7.501483	3	7.501483	1	7.501483	2	7.501483	1
3.3	7.523267	0	7.523267	1	7.523267	3	7.523267	0	7.523267	1
3.4	7.545115	0	7.545115	2	7.545115	1	7.545115	2	7.545115	3
3.5	7.567028	0	7.567028	1	7.567028	2	7.567028	3	7.567028	5
3.6	7.589004	0	7.589004	1	7.589004	2	7.589004	1	7.589004	1
3.7	7.611045	0	7.611045	5	7.611045	2	7.611045	3	7.611045	3
3.8	7.633076	0	7.633076	2	7.633076	1	7.633076	2	7.633076	1
3.9	7.655246	0	7.655246	1	7.655246	1	7.655246	3	7.655246	2
4	7.677482	0	7.677482	2	7.677482	0	7.677482	1	7.677482	2
4.1	7.699782	0	7.699782	2	7.699782	2	7.699782	1	7.699782	1
4.2	7.722148	0	7.722148	3	7.722148	0	7.722148	0	7.722148	0
4.3	7.74458	0	7.74458	1	7.74458	1	7.74458	1	7.74458	0
4.4	7.767077	0	7.767077	1	7.767077	1	7.767077	1	7.767077	3
4.5	7.78964	0	7.78964	1	7.78964	1	7.78964	1	7.78964	0
4.6	7.81227	0	7.81227	1	7.81227	1	7.81227	0	7.81227	1
4.7	7.834966	0	7.834966	0	7.834966	2	7.834966	1	7.834966	2
4.8	7.857728	2	7.857728	0	7.857728	0	7.857728	1	7.857728	3
4.9	7.880557	0	7.880557	0	7.880557	1	7.880557	1	7.880557	0
5	7.903454	0	7.903454	1	7.903454	0	7.903454	2	7.903454	3
5.1	7.926417	0	7.926417	2	7.926417	1	7.926417	1	7.926417	6
5.2	7.949448	0	7.949448	0	7.949448	2	7.949448	1	7.949448	1
5.3	7.972546	0	7.972546	1	7.972546	0	7.972546	0	7.972546	3
5.4	7.995712	0	7.995712	1	7.995712	1	7.995712	1	7.995712	1
5.5	8.018947	0	8.018947	1	8.018947	1	8.018947	1	8.018947	0
5.6	8.042249	0	8.042249	0	8.042249	1	8.042249	0	8.042249	1
5.7	8.06562	0	8.06562	2	8.06562	2	8.06562	0	8.06562	0
5.8	8.089059	1	8.089059	1	8.089059	3	8.089059	2	8.089059	1
5.9	8.112567	0	8.112567	2	8.112567	0	8.112567	1	8.112567	1
6	8.136144	0	8.136144	1	8.136144	1	8.136144	1	8.136144	1
6.1	8.159791	1	8.159791	1	8.159791	0	8.159791	0	8.159791	2
6.2	8.183507	0	8.183507	0	8.183507	1	8.183507	0	8.183507	0
6.3	8.207292	1	8.207292	1	8.207292	2	8.207292	0	8.207292	1
6.4	8.231147	0	8.231147	0	8.231147	0	8.231147	1	8.231147	1
6.5	8.255073	1	8.255073	0	8.255073	1	8.255073	2	8.255073	0
6.6	8.279068	1	8.279068	1	8.279068	1	8.279068	0	8.279068	0
6.7	8.303216	0	8.303216	3	8.303216	0	8.303216	1	8.303216	1
6.8	8.327353	0	8.327353	0	8.327353	1	8.327353	0	8.327353	3
6.9	8.351561	1	8.351561	1	8.351561	1	8.351561	0	8.351561	3
7	8.37584	0	8.37584	1	8.37584	3	8.37584	1	8.37584	0
7.1	8.400191	1	8.400191	0	8.400191	0	8.400191	0	8.400191	0
7.2	8.424613	1	8.424613	1	8.424613	1	8.424613	1	8.424613	2
7.3	8.449107	0	8.449107	0	8.449107	0	8.449107	1	8.449107	2
7.4	8.473673	0	8.473673	0	8.473673	1	8.473673	1	8.473673	1
7.5	8.498311	0	8.498311	2	8.498311	1	8.498311	0	8.498311	1
7.6	8.522937	1	8.522937	1	8.522937	0	8.522937	0	8.522937	0
7.7	8.54772	0	8.54772	0	8.54772	2	8.54772	0	8.54772	0
