Sample File	C:\Users\EARL_Administrator\Desktop\OVERNIGHT THE REAL DEAL\Sucrose to Ammonium Sulfate\1. Sucrose pre mixing tube\Sucrose pre mixing.S80									
Classifier Model	3080									
DMA Model	3081									
DMA Inner Radius(cm)	0.00937									
DMA Outer Radius(cm)	0.01961									
DMA Characteristic Length(cm)	0.44369									
CPC Model	3776 Low Flow									
Reference Gas Viscosity (Pa*s)	1.83E-05									
Reference Mean Free Path (m)	6.73E-08									
Reference Gas Temperature (K)	296.15									
Reference Gas Pressure (kPa)	101.3									
Channels/Decade	64									
Multiple Charge Correction	FALSE									
Nanoparticle Aggregate Mobility Analysis	FALSE									
Diffusion Correction	FALSE									
Units	dw/dlogDp									
Weight	Number									
Sample #	1		2		3		4		5	
Date	9/4/21		9/4/21		9/4/21		9/4/21		9/4/21	
Start Time	13:11:24		13:13:42		13:15:57		13:18:12		13:20:27	
Diameter Midpoint										
54	33.358296	256	33.358296	248	33.358296	242	33.358296	267	33.358296	249
54.1	33.458331	247	33.458331	232	33.458331	233	33.458331	248	33.458331	263
54.2	33.558994	255	33.558994	270	33.558994	241	33.558994	251	33.558994	236
54.3	33.660278	263	33.660278	283	33.660278	272	33.660278	275	33.660278	288
54.4	33.761565	252	33.761565	223	33.761565	239	33.761565	260	33.761565	253
54.5	33.862864	249	33.862864	251	33.862864	246	33.862864	267	33.862864	268
54.6	33.964804	264	33.964804	252	33.964804	235	33.964804	263	33.964804	277
54.7	34.067066	256	34.067066	254	34.067066	254	34.067066	284	34.067066	270
54.8	34.169949	258	34.169949	237	34.169949	273	34.169949	266	34.169949	247
54.9	34.272845	297	34.272845	257	34.272845	271	34.272845	251	34.272845	262
55	34.375765	282	34.375765	251	34.375765	255	34.375765	293	34.375765	262
55.1	34.479325	278	34.479325	283	34.479325	252	34.479325	239	34.479325	239
55.2	34.58352	237	34.58352	288	34.58352	244	34.58352	298	34.58352	271
55.3	34.687724	264	34.687724	265	34.687724	278	34.687724	282	34.687724	246
55.4	34.791947	253	34.791947	251	34.791947	272	34.791947	269	34.791947	260
55.5	34.896825	273	34.896825	266	34.896825	250	34.896825	264	34.896825	270
55.6	35.00235	257	35.00235	255	35.00235	270	35.00235	249	35.00235	296
55.7	35.10788	287	35.10788	280	35.10788	270	35.10788	295	35.10788	282
55.8	35.213745	260	35.213745	269	35.213745	278	35.213745	271	35.213745	298
55.9	35.319637	283	35.319637	256	35.319637	271	35.319637	280	35.319637	256
56	35.426187	274	35.426187	272	35.426187	246	35.426187	280	35.426187	280
56.1	35.533387	288	35.533387	249	35.533387	293	35.533387	269	35.533387	280
56.2	35.640601	271	35.640601	284	35.640601	278	35.640601	275	35.640601	295
56.3	35.747837	252	35.747837	254	35.747837	295	35.747837	279	35.747837	282
56.4	35.855746	278	35.855746	291	35.855746	283	35.855746	273	35.855746	260
56.5	35.964321	296	35.964321	289	35.964321	281	35.964321	287	35.964321	261
56.6	36.072903	290	36.072903	254	36.072903	284	36.072903	289	36.072903	280
56.7	36.18183	304	36.18183	296	36.18183	261	36.18183	296	36.18183	293
56.8	36.290787	293	36.290787	275	36.290787	272	36.290787	301	36.290787	283
56.9	36.400421	294	36.400421	272	36.400421	304	36.400421	298	36.400421	283
57	36.510726	279	36.510726	264	36.510726	271	36.510726	262	36.510726	273
57.1	36.621045	287	36.621045	289	36.621045	283	36.621045	314	36.621045	316
57.2	36.731387	301	36.731387	280	36.731387	291	36.731387	287	36.731387	294
57.3	36.842423	289	36.842423	279	36.842423	266	36.842423	293	36.842423	283
57.4	36.953813	288	36.953813	275	36.953813	311	36.953813	295	36.953813	293
57.5	37.065881	309	37.065881	309	37.065881	288	37.065881	315	37.065881	286
57.6	37.177968	274	37.177968	304	37.177968	266	37.177968	301	37.177968	300
57.7	37.290084	289	37.290084	283	37.290084	316	37.290084	300	37.290084	315
57.8	37.402901	306	37.402901	263	37.402901	312	37.402901	301	37.402901	314
57.9	37.516415	278	37.516415	308	37.516415	283	37.516415	307	37.516415	314
58	37.629939	305	37.629939	314	37.629939	284	37.629939	303	37.629939	290
58.1	37.743826	307	37.743826	323	37.743826	292	37.743826	308	37.743826	288
58.2	37.857746	298	37.857746	292	37.857746	309	37.857746	327	37.857746	309
58.3	37.972376	303	37.972376	298	37.972376	314	37.972376	294	37.972376	303
58.4	38.08771	304	38.08771	310	38.08771	268	38.08771	321	38.08771	308
58.5	38.20306	322	38.20306	290	38.20306	328	38.20306	307	38.20306	304
58.6	38.318778	328	38.318778	281	38.318778	284	38.318778	328	38.318778	301
58.7	38.434534	331	38.434534	321	38.434534	303	38.434534	335	38.434534	315
58.8	38.551008	324	38.551008	331	38.551008	304	38.551008	311	38.551008	312
58.9	38.668197	328	38.668197	314	38.668197	298	38.668197	317	38.668197	298
59	38.785404	310	38.785404	297	38.785404	346	38.785404	338	38.785404	313
59.1	38.902987	304	38.902987	317	38.902987	326	38.902987	308	38.902987	286
59.2	39.02061	319	39.02061	287	39.02061	297	39.02061	309	39.02061	319
59.3	39.138962	333	39.138962	304	39.138962	329	39.138962	323	39.138962	312
59.4	39.258039	292	39.258039	277	39.258039	315	39.258039	325	39.258039	325
59.5	39.377137	322	39.377137	319	39.377137	324	39.377137	340	39.377137	327
59.6	39.496617	305	39.496617	325	39.496617	311	39.496617	304	39.496617	306
59.7	39.61614	317	39.61614	293	39.61614	297	39.61614	334	39.61614	324
59.8	39.736403	312	39.736403	294	39.736403	327	39.736403	352	39.736403	337
59.9	39.857404	319	39.857404	325	39.857404	340	39.857404	314	39.857404	309
60	39.978427	343	39.978427	319	39.978427	311	39.978427	340	39.978427	313
60.1	40.099839	283	40.099839	319	40.099839	315	40.099839	331	40.099839	336
60.2	40.221294	351	40.221294	307	40.221294	352	40.221294	319	40.221294	311
60.3	40.343503	311	40.343503	298	40.343503	337	40.343503	325	40.343503	348
60.4	40.466463	334	40.466463	347	40.466463	317	40.466463	318	40.466463	345
60.5	40.589445	335	40.589445	338	40.589445	288	40.589445	330	40.589445	325
60.6	40.712824	337	40.712824	360	40.712824	322	40.712824	329	40.712824	335
60.7	40.836245	335	40.836245	334	40.836245	337	40.836245	374	40.836245	336
60.8	40.960435	340	40.960435	334	40.960435	312	40.960435	339	40.960435	344
60.9	41.085391	346	41.085391	340	41.085391	315	41.085391	322	41.085391	358
61	41.210368	330	41.210368	332	41.210368	327	41.210368	372	41.210368	316
61.1	41.335749	305	41.335749	311	41.335749	349	41.335749	352	41.335749	331
61.2	41.461171	328	41.461171	334	41.461171	332	41.461171	317	41.461171	333
61.3	41.587377	331	41.587377	339	41.587377	311	41.587377	332	41.587377	351
61.4	41.713991	357	41.713991	321	41.713991	349	41.713991	320	41.713991	327
61.5	41.841375	345	41.841375	335	41.841375	321	41.841375	337	41.841375	382
61.6	41.968794	322	41.968794	330	41.968794	350	41.968794	366	41.968794	361
61.7	42.096251	352	42.096251	349	42.096251	366	42.096251	343	42.096251	362
61.8	42.224511	357	42.224511	334	42.224511	339	42.224511	374	42.224511	317
61.9	42.353186	342	42.353186	337	42.353186	357	42.353186	359	42.353186	325
62	42.48265	346	42.48265	371	42.48265	343	42.48265	357	42.48265	357
62.1	42.612144	341	42.612144	347	42.612144	346	42.612144	363	42.612144	377
62.2	42.742058	331	42.742058	365	42.742058	309	42.742058	386	42.742058	383
62.3	42.872023	342	42.872023	354	42.872023	346	42.872023	350	42.872023	357
62.4	43.002796	342	43.002796	339	43.002796	352	43.002796	356	43.002796	363
62.5	43.133994	357	43.133994	342	43.133994	337	43.133994	382	43.133994	362
62.6	43.265986	387	43.265986	346	43.265986	350	43.265986	346	43.265986	354
62.7	43.398021	357	43.398021	361	43.398021	316	43.398021	356	43.398021	351
62.8	43.530101	371	43.530101	340	43.530101	348	43.530101	373	43.530101	377
62.9	43.663011	355	43.663011	337	43.663011	332	43.663011	381	43.663011	359
63	43.796353	347	43.796353	353	43.796353	367	43.796353	390	43.796353	361
63.1	43.930513	344	43.930513	333	43.930513	372	43.930513	376	43.930513	316
63.2	44.064708	387	44.064708	361	44.064708	314	44.064708	356	44.064708	346
63.3	44.19934	343	44.19934	375	44.19934	390	44.19934	360	44.19934	378
63.4	44.334026	343	44.334026	361	44.334026	329	44.334026	351	44.334026	337
63.5	44.469553	371	44.469553	367	44.469553	384	44.469553	382	44.469553	385
63.6	44.60552	365	44.60552	388	44.60552	366	44.60552	394	44.60552	373
63.7	44.742316	342	44.742316	371	44.742316	368	44.742316	361	44.742316	377
63.8	44.879155	355	44.879155	372	44.879155	357	44.879155	389	44.879155	398
63.9	45.016442	399	45.016442	348	45.016442	344	45.016442	359	45.016442	369
64	45.153791	372	45.153791	375	45.153791	385	45.153791	390	45.153791	335
64.1	45.291991	357	45.291991	381	45.291991	398	45.291991	385	45.291991	359
64.2	45.430643	357	45.430643	342	45.430643	391	45.430643	382	45.430643	388
64.3	45.570134	376	45.570134	365	45.570134	383	45.570134	371	45.570134	398
64.4	45.709677	358	45.709677	399	45.709677	405	45.709677	416	45.709677	351
64.5	45.849677	362	45.849677	366	45.849677	370	45.849677	403	45.849677	376
64.6	45.989746	374	45.989746	361	45.989746	384	45.989746	403	45.989746	397
64.7	46.13068	368	46.13068	382	46.13068	361	46.13068	423	46.13068	378
64.8	46.272076	367	46.272076	338	46.272076	356	46.272076	420	46.272076	366
64.9	46.414325	387	46.414325	412	46.414325	359	46.414325	374	46.414325	386
65	46.556632	387	46.556632	355	46.556632	402	46.556632	421	46.556632	374
65.1	46.699406	392	46.699406	384	46.699406	387	46.699406	392	46.699406	353
65.2	46.842255	366	46.842255	369	46.842255	376	46.842255	363	46.842255	381
65.3	46.985984	404	46.985984	362	46.985984	379	46.985984	389	46.985984	383
65.4	47.130184	380	47.130184	394	47.130184	372	47.130184	386	47.130184	380
65.5	47.275256	362	47.275256	396	47.275256	381	47.275256	384	47.275256	377
65.6	47.420389	374	47.420389	427	47.420389	378	47.420389	397	47.420389	403
65.7	47.565999	370	47.565999	375	47.565999	370	47.565999	405	47.565999	397
65.8	47.711687	397	47.711687	415	47.711687	381	47.711687	387	47.711687	394
65.9	47.858274	385	47.858274	395	47.858274	370	47.858274	411	47.858274	386
66	48.005343	408	48.005343	389	48.005343	408	48.005343	410	48.005343	396
66.1	48.153302	392	48.153302	384	48.153302	385	48.153302	393	48.153302	364
66.2	48.301324	373	48.301324	381	48.301324	408	48.301324	393	48.301324	407
66.3	48.449835	377	48.449835	396	48.449835	407	48.449835	409	48.449835	393
66.4	48.598424	422	48.598424	371	48.598424	400	48.598424	446	48.598424	420
66.5	48.747934	393	48.747934	401	48.747934	404	48.747934	409	48.747934	418
66.6	48.897936	382	48.897936	400	48.897936	373	48.897936	397	48.897936	422
66.7	49.04885	376	49.04885	350	49.04885	400	49.04885	430	49.04885	369
66.8	49.199827	377	49.199827	386	49.199827	369	49.199827	394	49.199827	416
66.9	49.351304	415	49.351304	407	49.351304	361	49.351304	438	49.351304	404
67	49.502859	405	49.502859	421	49.502859	343	49.502859	387	49.502859	407
67.1	49.655357	449	49.655357	374	49.655357	403	49.655357	429	49.655357	374
67.2	49.808359	413	49.808359	359	49.808359	400	49.808359	410	49.808359	427
67.3	49.962298	404	49.962298	438	49.962298	421	49.962298	408	49.962298	407
67.4	50.116297	385	50.116297	390	50.116297	405	50.116297	406	50.116297	432
67.5	50.270807	427	50.270807	441	50.270807	388	50.270807	429	50.270807	426
67.6	50.42583	411	50.42583	407	50.42583	415	50.42583	412	50.42583	415
67.7	50.580947	387	50.580947	421	50.580947	403	50.580947	437	50.580947	414
67.8	50.737018	378	50.737018	417	50.737018	398	50.737018	393	50.737018	398
67.9	50.893607	399	50.893607	404	50.893607	400	50.893607	403	50.893607	408
68	51.051144	413	51.051144	412	51.051144	424	51.051144	412	51.051144	409
68.1	51.208757	415	51.208757	437	51.208757	379	51.208757	414	51.208757	452
68.2	51.366894	403	51.366894	402	51.366894	382	51.366894	439	51.366894	423
68.3	51.525121	407	51.525121	396	51.525121	405	51.525121	415	51.525121	415
68.4	51.684331	417	51.684331	393	51.684331	419	51.684331	468	51.684331	456
68.5	51.84407	428	51.84407	417	51.84407	430	51.84407	433	51.84407	403
68.6	52.004789	433	52.004789	439	52.004789	386	52.004789	437	52.004789	442
68.7	52.165576	438	52.165576	375	52.165576	438	52.165576	437	52.165576	431
68.8	52.3269	441	52.3269	377	52.3269	395	52.3269	457	52.3269	394
68.9	52.488762	439	52.488762	424	52.488762	411	52.488762	441	52.488762	452
69	52.650725	427	52.650725	429	52.650725	427	52.650725	446	52.650725	426
69.1	52.813688	427	52.813688	381	52.813688	432	52.813688	442	52.813688	458
69.2	52.977196	411	52.977196	434	52.977196	417	52.977196	443	52.977196	433
69.3	53.1417	430	53.1417	408	53.1417	395	53.1417	500	53.1417	425
69.4	53.306284	419	53.306284	373	53.306284	438	53.306284	433	53.306284	431
69.5	53.471418	386	53.471418	418	53.471418	424	53.471418	441	53.471418	455
69.6	53.637106	430	53.637106	396	53.637106	394	53.637106	426	53.637106	429
69.7	53.802904	455	53.802904	433	53.802904	390	53.802904	399	53.802904	435
69.8	53.969722	408	53.969722	420	53.969722	435	53.969722	444	53.969722	436
69.9	54.1371	447	54.1371	452	54.1371	424	54.1371	470	54.1371	404
70	54.305496	407	54.305496	424	54.305496	431	54.305496	451	54.305496	425
70.1	54.473979	462	54.473979	424	54.473979	431	54.473979	458	54.473979	438
70.2	54.643028	434	54.643028	410	54.643028	427	54.643028	411	54.643028	460
70.3	54.812645	405	54.812645	438	54.812645	413	54.812645	471	54.812645	434
70.4	54.982379	431	54.982379	422	54.982379	398	54.982379	436	54.982379	452
70.5	55.153158	433	55.153158	423	55.153158	422	55.153158	468	55.153158	458
70.6	55.324511	446	55.324511	411	55.324511	421	55.324511	449	55.324511	433
70.7	55.496909	449	55.496909	426	55.496909	437	55.496909	445	55.496909	461
70.8	55.669397	414	55.669397	456	55.669397	407	55.669397	431	55.669397	443
70.9	55.842467	449	55.842467	423	55.842467	397	55.842467	446	55.842467	441
71	56.016122	444	56.016122	431	56.016122	430	56.016122	438	56.016122	431
71.1	56.189897	423	56.189897	406	56.189897	412	56.189897	445	56.189897	475
71.2	56.364745	432	56.364745	472	56.364745	443	56.364745	466	56.364745	451
71.3	56.540183	431	56.540183	395	56.540183	477	56.540183	450	56.540183	459
71.4	56.716213	436	56.716213	431	56.716213	426	56.716213	463	56.716213	446
71.5	56.893299	437	56.893299	432	56.893299	466	56.893299	436	56.893299	410
71.6	57.070501	477	57.070501	391	57.070501	420	57.070501	455	57.070501	467
71.7	57.248304	456	57.248304	419	57.248304	441	57.248304	464	57.248304	449
71.8	57.426228	451	57.426228	441	57.426228	452	57.426228	443	57.426228	446
71.9	57.605257	448	57.605257	419	57.605257	416	57.605257	460	57.605257	464
72	57.784893	468	57.784893	470	57.784893	429	57.784893	456	57.784893	451
72.1	57.965137	406	57.965137	437	57.965137	463	57.965137	465	57.965137	457
72.2	58.146471	467	58.146471	432	58.146471	444	58.146471	448	58.146471	442
72.3	58.32792	444	58.32792	424	58.32792	428	58.32792	467	58.32792	426
72.4	58.509985	475	58.509985	463	58.509985	444	58.509985	459	58.509985	446
72.5	58.692669	428	58.692669	441	58.692669	461	58.692669	455	58.692669	446
72.6	58.875496	454	58.875496	453	58.875496	412	58.875496	455	58.875496	461
72.7	59.059445	463	59.059445	448	59.059445	415	59.059445	444	59.059445	457
72.8	59.244021	473	59.244021	434	59.244021	413	59.244021	469	59.244021	473
72.9	59.429224	427	59.429224	439	59.429224	423	59.429224	430	59.429224	447
73	59.615538	466	59.615538	429	59.615538	446	59.615538	453	59.615538	441
73.1	59.801985	463	59.801985	433	59.801985	445	59.801985	453	59.801985	457
73.2	59.989069	458	59.989069	473	59.989069	437	59.989069	441	59.989069	459
73.3	60.176288	468	60.176288	417	60.176288	451	60.176288	493	60.176288	427
73.4	60.364672	444	60.364672	467	60.364672	446	60.364672	467	60.364672	446
73.5	60.5537	464	60.5537	466	60.5537	434	60.5537	453	60.5537	469
73.6	60.743374	436	60.743374	436	60.743374	436	60.743374	452	60.743374	465
73.7	60.934203	416	60.934203	425	60.934203	451	60.934203	487	60.934203	473
73.8	61.125154	465	61.125154	426	61.125154	439	61.125154	433	61.125154	450
73.9	61.316761	476	61.316761	440	61.316761	442	61.316761	452	61.316761	442
74	61.509023	474	61.509023	443	61.509023	470	61.509023	443	61.509023	473
74.1	61.701434	486	61.701434	434	61.701434	447	61.701434	464	61.701434	440
74.2	61.89504	474	61.89504	466	61.89504	440	61.89504	466	61.89504	429
74.3	62.08931	467	62.08931	432	62.08931	412	62.08931	459	62.08931	465
74.4	62.284247	437	62.284247	466	62.284247	429	62.284247	469	62.284247	474
74.5	62.48037	434	62.48037	468	62.48037	414	62.48037	446	62.48037	462
74.6	62.676626	426	62.676626	431	62.676626	459	62.676626	415	62.676626	459
74.7	62.873558	481	62.873558	410	62.873558	462	62.873558	463	62.873558	461
74.8	63.071168	473	63.071168	439	63.071168	463	63.071168	491	63.071168	425
74.9	63.268935	454	63.268935	417	63.268935	437	63.268935	436	63.268935	429
75	63.467932	464	63.467932	431	63.467932	412	63.467932	468	63.467932	448
75.1	63.667614	460	63.667614	463	63.667614	425	63.667614	473	63.667614	453
75.2	63.867985	465	63.867985	465	63.867985	465	63.867985	474	63.867985	466
75.3	64.069047	450	64.069047	487	64.069047	431	64.069047	495	64.069047	458
75.4	64.271314	439	64.271314	414	64.271314	446	64.271314	498	64.271314	466
75.5	64.473745	484	64.473745	438	64.473745	472	64.473745	452	64.473745	440
75.6	64.676877	450	64.676877	448	64.676877	483	64.676877	502	64.676877	451
75.7	64.880712	437	64.880712	412	64.880712	426	64.880712	452	64.880712	467
75.8	65.084733	473	65.084733	411	65.084733	462	65.084733	485	65.084733	420
75.9	65.290005	449	65.290005	445	65.290005	476	65.290005	455	65.290005	483
76	65.495988	456	65.495988	458	65.495988	462	65.495988	498	65.495988	450
76.1	65.702685	442	65.702685	443	65.702685	416	65.702685	468	65.702685	436
76.2	65.910631	468	65.910631	440	65.910631	445	65.910631	465	65.910631	440
76.3	66.118742	460	66.118742	433	66.118742	450	66.118742	454	66.118742	438
76.4	66.327577	459	66.327577	458	66.327577	477	66.327577	471	66.327577	427
76.5	66.537139	466	66.537139	478	66.537139	462	66.537139	459	66.537139	466
76.6	66.746885	451	66.746885	445	66.746885	472	66.746885	454	66.746885	445
76.7	66.957931	453	66.957931	477	66.957931	485	66.957931	464	66.957931	484
76.8	67.169712	488	67.169712	467	67.169712	458	67.169712	441	67.169712	405
76.9	67.382231	441	67.382231	459	67.382231	435	67.382231	464	67.382231	435
77	67.59549	433	67.59549	436	67.59549	433	67.59549	469	67.59549	413
77.1	67.810029	425	67.810029	449	67.810029	464	67.810029	454	67.810029	445
77.2	68.024756	451	68.024756	472	68.024756	430	68.024756	455	68.024756	442
77.3	68.240234	417	68.240234	463	68.240234	434	68.240234	469	68.240234	435
77.4	68.456465	452	68.456465	444	68.456465	444	68.456465	459	68.456465	432
77.5	68.672901	447	68.672901	444	68.672901	428	68.672901	454	68.672901	412
77.6	68.890673	433	68.890673	461	68.890673	439	68.890673	436	68.890673	429
77.7	69.109207	474	69.109207	449	69.109207	401	69.109207	475	69.109207	426
77.8	69.328506	440	69.328506	450	69.328506	446	69.328506	462	69.328506	440
77.9	69.548574	430	69.548574	466	69.548574	431	69.548574	446	69.548574	445
78	69.769961	410	69.769961	452	69.769961	405	69.769961	455	69.769961	408
78.1	69.991553	426	69.991553	444	69.991553	407	69.991553	436	69.991553	415
78.2	70.213924	457	70.213924	420	70.213924	406	70.213924	480	70.213924	429
78.3	70.437077	478	70.437077	432	70.437077	473	70.437077	479	70.437077	441
78.4	70.660449	455	70.660449	460	70.660449	437	70.660449	450	70.660449	402
78.5	70.8852	430	70.8852	437	70.8852	403	70.8852	449	70.8852	450
78.6	71.110743	439	71.110743	445	71.110743	398	71.110743	433	71.110743	426
78.7	71.33708	416	71.33708	397	71.33708	393	71.33708	419	71.33708	450
78.8	71.564216	452	71.564216	448	71.564216	403	71.564216	449	71.564216	427
78.9	71.792717	422	71.792717	453	71.792717	418	71.792717	417	71.792717	414
79	72.021434	415	72.021434	440	72.021434	415	72.021434	425	72.021434	398
79.1	72.250959	466	72.250959	449	72.250959	398	72.250959	428	72.250959	414
79.2	72.481298	479	72.481298	437	72.481298	418	72.481298	416	72.481298	404
79.3	72.712451	457	72.712451	441	72.712451	411	72.712451	434	72.712451	426
79.4	72.94386	433	72.94386	377	72.94386	422	72.94386	408	72.94386	411
79.5	73.176679	443	73.176679	412	73.176679	413	73.176679	412	73.176679	411
79.6	73.410324	417	73.410324	444	73.410324	431	73.410324	421	73.410324	413
79.7	73.644797	463	73.644797	409	73.644797	428	73.644797	418	73.644797	402
79.8	73.880692	406	73.880692	418	73.880692	437	73.880692	435	73.880692	423
79.9	74.116808	426	74.116808	399	74.116808	406	74.116808	420	74.116808	397
80	74.353763	406	74.353763	410	74.353763	420	74.353763	426	74.353763	421
80.1	74.591562	421	74.591562	421	74.591562	393	74.591562	461	74.591562	399
80.2	74.830208	435	74.830208	412	74.830208	384	74.830208	399	74.830208	406
80.3	75.06911	418	75.06911	391	75.06911	356	75.06911	431	75.06911	405
80.4	75.309487	415	75.309487	379	75.309487	409	75.309487	407	75.309487	415
80.5	75.55072	427	75.55072	412	75.55072	428	75.55072	399	75.55072	398
80.6	75.792815	442	75.792815	462	75.792815	391	75.792815	407	75.792815	378
80.7	76.035773	401	76.035773	390	76.035773	401	76.035773	400	76.035773	392
80.8	76.2802	437	76.2802	410	76.2802	388	76.2802	377	76.2802	387
80.9	76.524872	430	76.524872	379	76.524872	398	76.524872	359	76.524872	372
81	76.770421	401	76.770421	407	76.770421	391	76.770421	400	76.770421	407
81.1	77.01685	417	77.01685	401	77.01685	417	77.01685	411	77.01685	355
81.2	77.264163	393	77.264163	410	77.264163	407	77.264163	406	77.264163	393
81.3	77.511755	432	77.511755	404	77.511755	395	77.511755	442	77.511755	407
81.4	77.760874	402	77.760874	396	77.760874	394	77.760874	397	77.760874	363
81.5	78.010886	383	78.010886	386	78.010886	387	78.010886	405	78.010886	395
81.6	78.261797	430	78.261797	409	78.261797	362	78.261797	394	78.261797	366
81.7	78.51361	387	78.51361	381	78.51361	389	78.51361	390	78.51361	378
81.8	78.766948	400	78.766948	401	78.766948	357	78.766948	374	78.766948	395
81.9	79.02055	390	79.02055	350	79.02055	342	79.02055	387	79.02055	372
82	79.275067	390	79.275067	388	79.275067	353	79.275067	372	79.275067	367
82.1	79.530502	421	79.530502	389	79.530502	406	79.530502	389	79.530502	344
82.2	79.78686	427	79.78686	403	79.78686	342	79.78686	384	79.78686	383
82.3	80.044145	384	80.044145	414	80.044145	379	80.044145	389	80.044145	365
82.4	80.301755	420	80.301755	367	80.301755	373	80.301755	377	80.301755	403
82.5	80.560931	400	80.560931	406	80.560931	378	80.560931	337	80.560931	357
82.6	80.821045	405	80.821045	389	80.821045	348	80.821045	390	80.821045	377
82.7	81.082101	378	81.082101	375	81.082101	383	81.082101	390	81.082101	380
82.8	81.344103	410	81.344103	364	81.344103	382	81.344103	373	81.344103	353
82.9	81.607677	384	81.607677	380	81.607677	363	81.607677	420	81.607677	347
83	81.871556	376	81.871556	391	81.871556	368	81.871556	359	81.871556	366
83.1	82.136395	369	82.136395	373	82.136395	365	82.136395	358	82.136395	356
83.2	82.402198	380	82.402198	381	82.402198	359	82.402198	377	82.402198	345
83.3	82.668968	400	82.668968	367	82.668968	352	82.668968	351	82.668968	320
83.4	82.936069	381	82.936069	350	82.936069	334	82.936069	361	82.936069	352
83.5	83.204815	354	83.204815	330	83.204815	316	83.204815	400	83.204815	338
83.6	83.474541	367	83.474541	361	83.474541	383	83.474541	370	83.474541	330
83.7	83.74525	370	83.74525	368	83.74525	323	83.74525	340	83.74525	353
83.8	84.016948	365	84.016948	366	84.016948	355	84.016948	351	84.016948	364
83.9	84.289638	369	84.289638	364	84.289638	343	84.289638	355	84.289638	300
84	84.56396	364	84.56396	360	84.56396	345	84.56396	367	84.56396	298
84.1	84.838621	336	84.838621	374	84.838621	321	84.838621	366	84.838621	340
84.2	85.114289	394	85.114289	365	85.114289	350	85.114289	353	85.114289	320
84.3	85.390968	341	85.390968	344	85.390968	356	85.390968	349	85.390968	336
84.4	85.668662	371	85.668662	360	85.668662	291	85.668662	353	85.668662	319
84.5	85.947377	350	85.947377	343	85.947377	369	85.947377	342	85.947377	314
84.6	86.226484	344	86.226484	377	86.226484	343	86.226484	317	86.226484	314
84.7	86.50728	360	86.50728	330	86.50728	327	86.50728	315	86.50728	309
84.8	86.789109	358	86.789109	345	86.789109	319	86.789109	349	86.789109	299
84.9	87.071975	348	87.071975	335	87.071975	292	87.071975	318	87.071975	278
85	87.355883	330	87.355883	345	87.355883	320	87.355883	351	87.355883	303
85.1	87.6415	378	87.6415	329	87.6415	319	87.6415	332	87.6415	332
85.2	87.927477	324	87.927477	358	87.927477	322	87.927477	293	87.927477	321
85.3	88.214512	351	88.214512	360	88.214512	297	88.214512	333	88.214512	288
85.4	88.502608	341	88.502608	333	88.502608	322	88.502608	321	88.502608	297
85.5	88.791771	339	88.791771	341	88.791771	314	88.791771	336	88.791771	259
85.6	89.082006	343	89.082006	332	89.082006	348	89.082006	302	89.082006	274
85.7	89.37265	338	89.37265	357	89.37265	304	89.37265	267	89.37265	298
85.8	89.66507	325	89.66507	327	89.66507	311	89.66507	318	89.66507	260
85.9	89.958575	345	89.958575	302	89.958575	296	89.958575	278	89.958575	270
86	90.25317	329	90.25317	302	90.25317	295	90.25317	315	90.25317	305
86.1	90.548858	350	90.548858	305	90.548858	310	90.548858	273	90.548858	249
86.2	90.845647	352	90.845647	309	90.845647	282	90.845647	304	90.845647	267
86.3	91.144214	303	91.144214	277	91.144214	284	91.144214	278	91.144214	264
86.4	91.443187	314	91.443187	314	91.443187	280	91.443187	299	91.443187	289
86.5	91.743275	329	91.743275	306	91.743275	306	91.743275	303	91.743275	265
86.6	92.044484	334	92.044484	313	92.044484	280	92.044484	314	92.044484	254
86.7	92.346819	278	92.346819	298	92.346819	270	92.346819	294	92.346819	260
86.8	92.650285	289	92.650285	315	92.650285	277	92.650285	286	92.650285	255
86.9	92.954201	292	92.954201	294	92.954201	261	92.954201	271	92.954201	248
87	93.259974	318	93.259974	301	93.259974	260	93.259974	281	93.259974	268
87.1	93.566892	289	93.566892	268	93.566892	265	93.566892	306	93.566892	249
87.2	93.87496	328	93.87496	305	93.87496	292	93.87496	280	93.87496	233
87.3	94.184184	309	94.184184	286	94.184184	264	94.184184	296	94.184184	240
87.4	94.494568	314	94.494568	273	94.494568	260	94.494568	270	94.494568	237
87.5	94.806821	300	94.806821	272	94.806821	244	94.806821	265	94.806821	241
87.6	95.119512	314	95.119512	276	95.119512	257	95.119512	264	95.119512	243
87.7	95.433382	314	95.433382	259	95.433382	239	95.433382	288	95.433382	262
87.8	95.748436	279	95.748436	277	95.748436	268	95.748436	244	95.748436	226
87.9	96.064678	306	96.064678	283	96.064678	249	96.064678	254	96.064678	252
88	96.382115	265	96.382115	269	96.382115	257	96.382115	244	96.382115	233
88.1	96.700752	274	96.700752	283	96.700752	231	96.700752	274	96.700752	237
88.2	97.019904	269	97.019904	278	97.019904	234	97.019904	245	97.019904	220
88.3	97.340987	304	97.340987	280	97.340987	251	97.340987	251	97.340987	217
88.4	97.663286	270	97.663286	281	97.663286	252	97.663286	234	97.663286	271
88.5	97.986806	289	97.986806	257	97.986806	255	97.986806	236	97.986806	221
88.6	98.311553	280	98.311553	271	98.311553	229	98.311553	239	98.311553	228
88.7	98.637532	301	98.637532	257	98.637532	239	98.637532	254	98.637532	216
