Sample File	G:\Shared drives\EARL\STUDENTS\Patricia\2020\CCNC Internal Mixtures\Mixing Tube Experiments\Overnights\AS to Sucrose\AS only.S80							
Classifier Model	3080							
DMA Model	3081							
DMA Inner Radius(cm)	0.00937							
DMA Outer Radius(cm)	0.01961							
DMA Characteristic Length(cm)	0.44369							
CPC Model	3776 Low Flow							
Reference Gas Viscosity (Pa*s)	1.83E-05							
Reference Mean Free Path (m)	6.73E-08							
Reference Gas Temperature (K)	296.15							
Reference Gas Pressure (kPa)	101.3							
Channels/Decade	64							
Multiple Charge Correction	FALSE							
Nanoparticle Aggregate Mobility Analysis	FALSE							
Diffusion Correction	FALSE							
Units	dw/dlogDp							
Weight	Number							
Sample #	1		2		3		4	
Date	10/6/21		10/6/21		10/6/21		10/6/21	
Start Time	17:54:37		17:56:55		17:59:10		18:01:25	
Diameter Midpoint								
22.3	13.075454	8	13.075454	11	13.075454	11	13.075454	14
22.4	13.1137	11	13.1137	10	13.1137	17	13.1137	14
22.5	13.151929	6	13.151929	11	13.151929	12	13.151929	10
22.6	13.190528	15	13.190528	11	13.190528	31	13.190528	21
22.7	13.228987	12	13.228987	12	13.228987	14	13.228987	10
22.8	13.267814	14	13.267814	11	13.267814	21	13.267814	16
22.9	13.306632	10	13.306632	18	13.306632	22	13.306632	12
23	13.345433	4	13.345433	21	13.345433	16	13.345433	14
23.1	13.38461	6	13.38461	15	13.38461	15	13.38461	11
23.2	13.423645	13	13.423645	16	13.423645	20	13.423645	19
23.3	13.463053	18	13.463053	13	13.463053	14	13.463053	15
23.4	13.502453	18	13.502453	17	13.502453	18	13.502453	19
23.5	13.541835	13	13.541835	14	13.541835	11	13.541835	8
23.6	13.581599	14	13.581599	18	13.581599	15	13.581599	14
23.7	13.621218	15	13.621218	18	13.621218	10	13.621218	15
23.8	13.661217	9	13.661217	20	13.661217	16	13.661217	18
23.9	13.701074	13	13.701074	12	13.701074	19	13.701074	13
24	13.741179	12	13.741179	20	13.741179	19	13.741179	15
24.1	13.781539	10	13.781539	20	13.781539	19	13.781539	18
24.2	13.821751	11	13.821751	11	13.821751	23	13.821751	19
24.3	13.862351	18	13.862351	14	13.862351	22	13.862351	28
24.4	13.902805	19	13.902805	11	13.902805	18	13.902805	20
24.5	13.943646	18	13.943646	18	13.943646	20	13.943646	11
24.6	13.984342	18	13.984342	19	13.984342	21	13.984342	24
24.7	14.025291	17	14.025291	13	14.025291	21	14.025291	23
24.8	14.066501	14	14.066501	22	14.066501	16	14.066501	22
24.9	14.10756	14	14.10756	21	14.10756	28	14.10756	15
25	14.149015	16	14.149015	12	14.149015	25	14.149015	24
25.1	14.190321	10	14.190321	19	14.190321	15	14.190321	21
25.2	14.232022	12	14.232022	25	14.232022	25	14.232022	24
25.3	14.273576	17	14.273576	24	14.273576	27	14.273576	24
25.4	14.315526	19	14.315526	18	14.315526	25	14.315526	18
25.5	14.357467	19	14.357467	24	14.357467	21	14.357467	24
25.6	14.39939	23	14.39939	19	14.39939	23	14.39939	23
25.7	14.44172	22	14.44172	17	14.44172	34	14.44172	18
25.8	14.483895	21	14.483895	25	14.483895	25	14.483895	28
25.9	14.526477	21	14.526477	18	14.526477	19	14.526477	24
26	14.568906	17	14.568906	28	14.568906	29	14.568906	18
26.1	14.611742	18	14.611742	18	14.611742	32	14.611742	25
26.2	14.654425	23	14.654425	21	14.654425	21	14.654425	25
26.3	14.697516	24	14.697516	25	14.697516	29	14.697516	18
26.4	14.740456	21	14.740456	31	14.740456	29	14.740456	32
26.5	14.783804	20	14.783804	32	14.783804	30	14.783804	25
26.6	14.827144	23	14.827144	23	14.827144	21	14.827144	28
26.7	14.870465	20	14.870465	24	14.870465	32	14.870465	21
26.8	14.914208	24	14.914208	26	14.914208	31	14.914208	32
26.9	14.957789	25	14.957789	24	14.957789	30	14.957789	39
27	15.001793	20	15.001793	31	15.001793	34	15.001793	26
27.1	15.045636	25	15.045636	39	15.045636	39	15.045636	33
27.2	15.089903	30	15.089903	27	15.089903	35	15.089903	34
27.3	15.134009	43	15.134009	27	15.134009	35	15.134009	38
27.4	15.17854	24	15.17854	30	15.17854	37	15.17854	25
27.5	15.222912	32	15.222912	28	15.222912	27	15.222912	41
27.6	15.267709	33	15.267709	43	15.267709	44	15.267709	33
27.7	15.312347	26	15.312347	38	15.312347	34	15.312347	31
27.8	15.357413	39	15.357413	41	15.357413	35	15.357413	26
27.9	15.402319	32	15.402319	45	15.402319	32	15.402319	30
28	15.447654	20	15.447654	32	15.447654	26	15.447654	30
28.1	15.49283	32	15.49283	30	15.49283	36	15.49283	43
28.2	15.538436	33	15.538436	31	15.538436	37	15.538436	32
28.3	15.583884	32	15.583884	39	15.583884	36	15.583884	38
28.4	15.629764	29	15.629764	43	15.629764	32	15.629764	49
28.5	15.675484	36	15.675484	40	15.675484	34	15.675484	35
28.6	15.721639	30	15.721639	28	15.721639	38	15.721639	36
28.7	15.767633	41	15.767633	32	15.767633	39	15.767633	26
28.8	15.814065	29	15.814065	33	15.814065	39	15.814065	49
28.9	15.860336	32	15.860336	35	15.860336	36	15.860336	39
29	15.907046	37	15.907046	52	15.907046	41	15.907046	50
29.1	15.953595	32	15.953595	39	15.953595	39	15.953595	38
29.2	16.000586	25	16.000586	43	16.000586	39	16.000586	45
29.3	16.047414	37	16.047414	35	16.047414	39	16.047414	46
29.4	16.094688	25	16.094688	44	16.094688	46	16.094688	42
29.5	16.141797	38	16.141797	53	16.141797	39	16.141797	46
29.6	16.189355	33	16.189355	39	16.189355	37	16.189355	33
29.7	16.236747	36	16.236747	39	16.236747	44	16.236747	42
