Sample File	G:\Shared drives\EARL\STUDENTS\Patricia\2020\CCNC Internal Mixtures\Mixing Tube Experiments\Overnights\AS to Sucrose\sucrose only pre mixing.S80							
Classifier Model	3080							
DMA Model	3081							
DMA Inner Radius(cm)	0.00937							
DMA Outer Radius(cm)	0.01961							
DMA Characteristic Length(cm)	0.44369							
CPC Model	3776 Low Flow							
Reference Gas Viscosity (Pa*s)	1.83E-05							
Reference Mean Free Path (m)	6.73E-08							
Reference Gas Temperature (K)	296.15							
Reference Gas Pressure (kPa)	101.3							
Channels/Decade	64							
Multiple Charge Correction	FALSE							
Nanoparticle Aggregate Mobility Analysis	FALSE							
Diffusion Correction	FALSE							
Units	dw/dlogDp							
Weight	Number							
Sample #	1		2		3		4	
Date	10/6/21		10/6/21		10/6/21		10/6/21	
Start Time	18:10:45		18:13:03		18:15:18		18:17:33	
Diameter Midpoint								
3	7.458105	0	7.458105	5	7.458105	4	7.458105	6
3.1	7.479762	0	7.479762	7	7.479762	3	7.479762	3
3.2	7.501483	0	7.501483	6	7.501483	1	7.501483	3
3.3	7.523267	0	7.523267	4	7.523267	3	7.523267	3
3.4	7.545115	0	7.545115	7	7.545115	5	7.545115	3
3.5	7.567028	2	7.567028	2	7.567028	1	7.567028	6
3.6	7.589004	0	7.589004	4	7.589004	7	7.589004	5
3.7	7.611045	1	7.611045	2	7.611045	2	7.611045	3
3.8	7.633076	0	7.633076	6	7.633076	5	7.633076	2
3.9	7.655246	0	7.655246	4	7.655246	2	7.655246	3
4	7.677482	0	7.677482	2	7.677482	5	7.677482	3
4.1	7.699782	0	7.699782	4	7.699782	3	7.699782	6
4.2	7.722148	0	7.722148	6	7.722148	5	7.722148	1
4.3	7.74458	0	7.74458	3	7.74458	4	7.74458	1
4.4	7.767077	1	7.767077	4	7.767077	4	7.767077	3
4.5	7.78964	1	7.78964	4	7.78964	5	7.78964	7
4.6	7.81227	1	7.81227	4	7.81227	6	7.81227	1
4.7	7.834966	0	7.834966	4	7.834966	1	7.834966	2
4.8	7.857728	0	7.857728	3	7.857728	3	7.857728	3
4.9	7.880557	0	7.880557	7	7.880557	0	7.880557	3
5	7.903454	0	7.903454	4	7.903454	4	7.903454	4
5.1	7.926417	0	7.926417	2	7.926417	1	7.926417	2
5.2	7.949448	0	7.949448	1	7.949448	4	7.949448	2
5.3	7.972546	0	7.972546	2	7.972546	2	7.972546	1
5.4	7.995712	0	7.995712	3	7.995712	3	7.995712	5
5.5	8.018947	0	8.018947	4	8.018947	4	8.018947	2
5.6	8.042249	0	8.042249	2	8.042249	3	8.042249	3
5.7	8.06562	0	8.06562	2	8.06562	4	8.06562	1
5.8	8.089059	0	8.089059	5	8.089059	1	8.089059	2
5.9	8.112567	0	8.112567	2	8.112567	3	8.112567	1
6	8.136144	0	8.136144	1	8.136144	0	8.136144	3
6.1	8.159791	1	8.159791	1	8.159791	1	8.159791	3
6.2	8.183507	1	8.183507	0	8.183507	3	8.183507	0
6.3	8.207292	0	8.207292	2	8.207292	2	8.207292	3
6.4	8.231147	0	8.231147	2	8.231147	1	8.231147	2
6.5	8.255073	0	8.255073	4	8.255073	4	8.255073	6
6.6	8.279068	0	8.279068	3	8.279068	0	8.279068	3
6.7	8.303216	0	8.303216	1	8.303216	4	8.303216	1
6.8	8.327353	0	8.327353	3	8.327353	4	8.327353	1
6.9	8.351561	0	8.351561	3	8.351561	1	8.351561	2
7	8.37584	0	8.37584	3	8.37584	4	8.37584	1
7.1	8.400191	3	8.400191	0	8.400191	4	8.400191	3
7.2	8.424613	1	8.424613	4	8.424613	0	8.424613	3
7.3	8.449107	1	8.449107	5	8.449107	1	8.449107	0
7.4	8.473673	0	8.473673	4	8.473673	0	8.473673	0
7.5	8.498311	0	8.498311	2	8.498311	4	8.498311	1
7.6	8.522937	0	8.522937	2	8.522937	1	8.522937	3
7.7	8.54772	1	8.54772	2	8.54772	1	8.54772	1
7.8	8.572575	1	8.572575	1	8.572575	3	8.572575	4
7.9	8.597504	0	8.597504	3	8.597504	2	8.597504	1
8	8.622506	0	8.622506	3	8.622506	3	8.622506	3
8.1	8.647581	0	8.647581	3	8.647581	3	8.647581	2
8.2	8.67273	1	8.67273	4	8.67273	3	8.67273	2
8.3	8.698038	0	8.698038	0	8.698038	2	8.698038	2
8.4	8.723336	0	8.723336	1	8.723336	0	8.723336	1
8.5	8.748708	1	8.748708	4	8.748708	3	8.748708	1
8.6	8.774154	0	8.774154	1	8.774154	3	8.774154	1
8.7	8.799676	0	8.799676	3	8.799676	1	8.799676	0
8.8	8.825186	1	8.825186	0	8.825186	1	8.825186	1
8.9	8.850857	1	8.850857	2	8.850857	1	8.850857	0
9	8.876604	1	8.876604	2	8.876604	1	8.876604	3
9.1	8.902426	1	8.902426	2	8.902426	2	8.902426	1
9.2	8.928324	1	8.928324	3	8.928324	1	8.928324	1
9.3	8.954387	0	8.954387	0	8.954387	1	8.954387	1
9.4	8.980438	0	8.980438	4	8.980438	2	8.980438	1
9.5	9.006567	0	9.006567	0	9.006567	3	9.006567	2
9.6	9.032772	3	9.032772	1	9.032772	2	9.032772	0
9.7	9.058966	0	9.058966	1	9.058966	0	9.058966	2
9.8	9.085325	1	9.085325	4	9.085325	0	9.085325	3
9.9	9.111761	0	9.111761	2	9.111761	1	9.111761	2
10	9.138276	1	9.138276	1	9.138276	1	9.138276	0
10.1	9.164958	1	9.164958	3	9.164958	1	9.164958	3
10.2	9.191629	1	9.191629	3	9.191629	3	9.191629	1
10.3	9.218379	2	9.218379	0	9.218379	0	9.218379	2
10.4	9.245208	1	9.245208	2	9.245208	0	9.245208	4
10.5	9.272025	1	9.272025	2	9.272025	4	9.272025	2
10.6	9.299011	0	9.299011	1	9.299011	2	9.299011	1
10.7	9.326077	1	9.326077	0	9.326077	2	9.326077	0
10.8	9.353314	1	9.353314	1	9.353314	3	9.353314	1
10.9	9.38054	1	9.38054	4	9.38054	0	9.38054	0
11	9.407846	1	9.407846	1	9.407846	3	9.407846	2
11.1	9.435141	1	9.435141	1	9.435141	3	9.435141	1
11.2	9.462608	1	9.462608	1	9.462608	1	9.462608	0
11.3	9.490155	1	9.490155	0	9.490155	1	9.490155	3
11.4	9.517784	0	9.517784	1	9.517784	4	9.517784	1
11.5	9.545588	0	9.545588	0	9.545588	3	9.545588	3
11.6	9.573381	1	9.573381	2	9.573381	1	9.573381	1
11.7	9.601255	0	9.601255	0	9.601255	3	9.601255	3
11.8	9.629117	2	9.629117	1	9.629117	4	9.629117	0
11.9	9.657156	2	9.657156	0	9.657156	3	9.657156	1
12	9.685371	2	9.685371	1	9.685371	3	9.685371	2
12.1	9.713576	0	9.713576	3	9.713576	1	9.713576	2
12.2	9.741864	3	9.741864	2	9.741864	0	9.741864	3
12.3	9.77014	3	9.77014	1	9.77014	0	9.77014	3
12.4	9.798593	2	9.798593	4	9.798593	2	9.798593	2
