2.04E-08	6372.74	592.265	94.827	18.6564	6.57143	4.71429	1.28571	2	0.800287	1.28571	0	0.714286	0.285714	0.285714	0.285714	0	0.714286	0	0.714286	1	0	0.285714	0	0	0	0	1.42857	0.285714	0	0	0	0	0	0	1	0	0	0	0
2.14E-08	8190.27	866.199	139.223	43.7122	9.875	5.89326	2.625	0.75	0.549746	0.75	0.625	0	2.25	1.625	1	0	0	0	0.625	0.375	0	0.375	0.625	0.625	0.625	0	0	1	0	0.625	0	0	0	0	0.375	0.625	0	0	0
2.24E-08	10038.3	1131.74	233.946	53.2291	6.82452	5.22809	3.875	6.125	0	0	0.125	0.875	0.375	1.125	1	0.875	0	0	0.125	0.875	0	0	0.125	0.125	0.125	0	0	1.875	0.875	0.125	0	0	0	0	0	0.125	0	0	0
2.34E-08	12153.6	1540.54	333.135	67.3213	25.2852	5.875	9.875	3	4.04443	0	0.875	0	0.125	0.875	1	0.875	0	0	0	0.125	0	0	0.125	0	0	0	0.875	0.25	0.125	0	0	0	0	0.875	0	0	0	0	0
2.45E-08	14456.4	2097.75	460.226	140.596	62.9912	24.1616	14.606	6.212	2.22634	0	0.444444	0	0.555556	0	0.555556	0	0	0	0.444444	0.555556	0	0	0.555556	0	0	0	0	1.55556	1	0	0	0	0.444444	0.444444	0	0	0	0	0
2.57E-08	17690.8	2909.5	700.043	221.61	80.2331	32.7703	19.3633	16.8739	5.33333	1.55556	1.77778	0	1.55556	0.777778	0	0	0.777778	0	1	0	0	0	0	0	0	0.777778	1.55556	0.222222	0.222222	0	0	0	0.222222	0.222222	0	0	0	0	0
2.69E-08	20832.7	3681.57	949.222	311.427	146.748	60.3608	36.7074	8	11	10	2	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.82E-08	25193.4	4846.38	1412.99	471.234	204.455	80.2921	43.8282	31.2486	16.5486	10.3	7.6	3.6	2	1.7	0.6	0	0.7	0.3	0	0	0	0	0	0	0.7	0	0.7	0.7	0	0	0	0	0	0	0.3	0	0.3	0	0.3
2.95E-08	29087.8	6101.57	1904.97	729.853	298.654	156.913	71.4546	45.3106	22.4207	19.4353	9.79898	4.45455	2.54545	1.25354	3.34445	0.545455	1.09091	1.54545	0	0.545455	1.63636	0	0.545455	0.545455	0.545455	0	0	0.545455	0	0	0	0	0	0	0.454545	0	0.454545	0	0.454545
3.09E-08	34289.8	7707.73	2475.98	982.399	464.974	228.438	121.463	80.8474	40.2854	30.8603	28.4454	9.97436	6.27273	3.97693	1.24965	1.81818	2	0.363636	0.818182	1	1.36364	0	1	3.45455	1	0	0	0.181818	0	0.818182	0	0	1.63636	0	0	0	0	0	0
3.24E-08	39391.2	9806.31	3438.04	1414.09	676.474	362.146	206.184	117.885	75.1662	56.8122	33.8088	21.6421	8.56378	8.33333	6.33333	9.33333	6.0319	3.33333	1.5	1	2.5	1.5	3	3.47148	0.833333	1.16667	1.33333	0	0	1.16667	0.833333	0.833333	0	0	0.166667	0.166667	0	0.166667	0
3.39E-08	44750.8	12022.2	4394.53	1909.59	927.744	536.58	293.199	171.595	125.152	77.2909	54.7662	30.5552	25.8372	13.3333	10.9167	10.5833	7.79978	6.04784	4.83333	5.79784	5.83333	3.16667	3	0.97148	1.25	1.16667	3.41667	0.833333	0.833333	2	0.416667	0	0.416667	0	1.83333	0.583333	0.416667	1	0
