2.82E-08	321.908	229.353	136.389	94.1229	64.7109	56.6744	42.2014	33.2829	23.0249	9.11673	20.5764	14.6	10.3	8.79147	5.5	8.81673	6.4	4.58294	5.98495	2.79147	3.1	1.3	1.6	2.9	2.18294	1.2	2.4	1	0.3	2.1	0.3	0.3	0	0	0	0.7	0	0	0	0	0	0.7	0	0	0	0.7	0	0	0
2.95E-08	419.357	333.041	189.797	148.265	100.916	70.1368	70.2956	52.0609	41.2452	10.7537	25.3359	16.5582	18	14.9723	9.09091	11.4155	5.54545	6.21729	7.81818	6.33592	4.8309	4.75272	3.55817	5	4.67184	2.90909	1.01272	1.54545	1.54545	0.545455	0.454545	0.454545	0.545455	0	0.545455	0.545455	0.545455	0	0	0	0	0	0	0	0	0	0	0	0
3.09E-08	555.831	431.647	263.827	205.63	133.688	98.9504	98.2468	64.9738	62.8796	14.5924	27.8771	31.4631	25.1143	16.9006	10.0909	14.3574	13.3636	12.98	10.4106	9.12638	6.3488	9.42486	9.46315	8.27273	3.6164	4.45455	5.64498	6.90909	2	0.181818	3.27273	0.818182	1	1.3871	0.181818	0.181818	0.181818	0	1.63636	0	0	0	0	0.818182	0	0	1.63636	0.818182	0
3.24E-08	762.322	555.294	359.655	269.688	191.321	165.077	125.43	105.516	82.4595	43.5999	55.867	40.9309	37.3	33.7488	46.0103	16.4488	26.0103	26.5565	19.6565	12.4821	11.5282	7.80799	13.4027	7.04611	4.83333	7.66667	10.0873	2.5	2.5461	0.666667	1.5	1.33333	0	0.420546	2.16667	0.166667	0.833333	2.16667	1.83333	1	0.333333	0	0.833333	0.166667	0	0.166667	0	0	0.166667
3.39E-08	983.48	728.824	491.741	371.159	293.119	225.797	179.98	138.625	112.371	57.9852	87.6252	64.231	44.4926	49.2113	45.8856	38.7127	33.0402	34.5086	25.7442	21.2321	16.546	16.9924	16.2381	16.5759	9.41667	10.5833	9	5.41667	3.56987	4.41667	3.33937	4.25	0.833333	1.83333	2.58333	0.583333	0.416667	2.16667	1.83333	0.583333	2.83333	1.4227	0.416667	1.41667	0.416667	0.583333	0.172706	0.833333	1
3.55E-08	1260.07	924.345	648.005	485.677	357.531	309.868	250.786	190.237	155.987	96.5788	112.997	107.162	69.2871	66.1701	65.3372	50.4804	43.43	51.4412	35.2384	34.7159	31.3987	18.3626	24.412	23.5179	20.3846	16.0675	9.61067	13.9811	11.6773	5.69231	3.83586	5.30769	3.38462	1.61538	0.615385	5.53846	3.07692	4.46154	3.69231	0	2.61538	3.53289	1	2.69231	2.38462	1.38462	3.30212	3.30298	0.307692
3.72E-08	1585.34	1185.45	807.875	641.114	531.228	419.171	349.226	271.996	256.764	125.115	177.821	156.764	140.823	104.467	102.702	87.2343	81.4098	68.1163	53.5278	57.2358	52.0587	50.8805	32.587	27.4098	27.2935	26.2358	23.1179	25.4717	14.8228	4	9.11792	9.2935	12.2935	6.2935	7.2935	10	10.2935	6	6	6	4	5	2	3	2	5	1	2.41142	3
3.89E-08	1987.76	1540.33	1135.29	878.286	716.412	566.588	449.599	380.491	320.313	198.757	244.811	211.277	161.021	154.692	129.937	130.578	114.739	95.992	79.7443	87.571	70.4226	69.0271	62.3046	55.9614	41.637	33.9702	40.9232	35	29.0235	23.7838	20.5206	18.2514	10.9019	12.9848	12.1532	6.1522	9.41898	13.7368	6.16841	7.2	6.53333	6.26667	4.53333	4	6	5.88552	3.8	3.78477	2.8
4.07E-08	2346.61	1911.06	1418.2	1129.91	906.606	737.59	628.281	533.463	422.978	280.904	338.856	290.349	242.336	210.265	202.382	182.367	161.751	137.691	113.444	113.938	97.8454	90.7053	81.5909	84.2834	67.6689	65.9299	54.1145	59.3377	45.5222	28.5845	23.9378	24.5845	18.0845	15.5845	19.3456	15.8455	17.5844	17.3534	14.2612	14	9	11.5845	6.5	8.5	6.58442	6.1767	6.5	8.5	7.08443
4.27E-08	2972.18	2343.32	1805.72	1520.77	1167.33	949.09	822.767	666.22	592.354	400.487	461.867	383.054	352.418	296.516	290.583	242.037	204.256	196.987	172.609	167.004	131.732	136.87	119.254	97.792	111.637	83.0165	72.3671	77.8601	67.8715	42.7287	36.7954	35.3428	39.1064	28.8318	36.1745	19.6048	19.9146	26.8222	27.4095	25	12.6	21.0761	20	16.4667	11.4984	12.8303	13.9333	8.95553	13.7873
